DATE,PRODUIT,QUANTITE
2022-08-10 00:00:00,PR3,287
2022-08-10 00:00:00,T03,71
2022-08-10 00:00:00,T04,133
2022-08-10 00:00:00,T05,141
2022-08-10 00:00:00,T06,340
2022-08-10 00:00:00,T07,172
2022-08-10 00:00:00,T08,0
2022-08-11 00:00:00,PR,0
2022-08-11 00:00:00,PR1,41
2022-08-11 00:00:00,PR2,446
2022-08-11 00:00:00,PR3,445
2022-08-11 00:00:00,T03,66
2022-08-11 00:00:00,T04,202
2022-08-11 00:00:00,T05,259
2022-08-11 00:00:00,T06,503
2022-08-11 00:00:00,T07,337
2022-08-11 00:00:00,T08,0
2022-08-12 00:00:00,PR,0
2022-08-12 00:00:00,PR1,28
2022-08-12 00:00:00,PR2,259
2022-08-12 00:00:00,PR3,289
2022-08-12 00:00:00,T03,78
2022-08-12 00:00:00,T04,225
2022-08-12 00:00:00,T05,310
2022-08-12 00:00:00,T06,649
2022-08-12 00:00:00,T07,344
2022-08-12 00:00:00,T08,0
2022-08-13 00:00:00,PR,0
2022-08-13 00:00:00,PR1,40
2022-08-13 00:00:00,PR2,184
2022-08-13 00:00:00,PR3,198
2022-08-13 00:00:00,T03,72
2022-08-13 00:00:00,T04,82
2022-08-13 00:00:00,T05,133
2022-08-13 00:00:00,T06,302
2022-08-13 00:00:00,T07,283
2022-08-13 00:00:00,T08,0
2022-08-14 00:00:00,PR,0
2022-08-14 00:00:00,PR1,9
2022-08-14 00:00:00,PR2,189
2022-08-14 00:00:00,PR3,195
2022-08-14 00:00:00,T03,32
2022-08-14 00:00:00,T04,97
2022-08-14 00:00:00,T05,142
2022-08-14 00:00:00,T06,362
2022-08-14 00:00:00,T07,181
2022-08-14 00:00:00,T08,0
2022-08-15 00:00:00,PR,0
2022-08-15 00:00:00,PR1,7
2022-08-15 00:00:00,PR2,163
2022-08-15 00:00:00,PR3,256
2022-08-15 00:00:00,T03,38
2022-08-15 00:00:00,T04,95
2022-08-15 00:00:00,T05,110
2022-08-15 00:00:00,T06,452
2022-08-15 00:00:00,T07,238
2022-08-15 00:00:00,T08,0
2022-08-16 00:00:00,PR,0
2022-08-16 00:00:00,PR1,19
2022-08-16 00:00:00,PR2,312
2022-08-16 00:00:00,PR3,236
2022-08-16 00:00:00,T03,46
2022-08-16 00:00:00,T04,144
2022-08-16 00:00:00,T05,157
2022-08-16 00:00:00,T06,398
2022-08-16 00:00:00,T07,253
2022-08-16 00:00:00,T08,0
2022-08-17 00:00:00,PR,0
2022-08-17 00:00:00,PR1,26
2022-08-17 00:00:00,PR2,293
2022-08-17 00:00:00,PR3,324
2022-08-17 00:00:00,T03,41
2022-08-17 00:00:00,T04,120
2022-08-17 00:00:00,T05,128
2022-08-17 00:00:00,T06,426
2022-08-17 00:00:00,T07,218
2022-08-17 00:00:00,T08,0
2022-08-18 00:00:00,PR,0
2022-08-18 00:00:00,PR1,68
2022-08-18 00:00:00,PR2,289
2022-08-18 00:00:00,PR3,367
2022-08-18 00:00:00,T03,129
2022-08-18 00:00:00,T04,323
2022-08-18 00:00:00,T05,385
2022-08-18 00:00:00,T06,786
2022-08-18 00:00:00,T07,398
2022-08-18 00:00:00,T08,0
2022-08-19 00:00:00,PR,0
2022-08-19 00:00:00,PR1,80
2022-08-19 00:00:00,PR2,309
2022-08-19 00:00:00,PR3,448
2022-08-19 00:00:00,T03,200
2022-08-19 00:00:00,T04,465
2022-08-19 00:00:00,T05,537
2022-08-19 00:00:00,T06,1066
2022-08-19 00:00:00,T07,640
2022-08-19 00:00:00,T08,0
2022-08-20 00:00:00,PR,0
2022-08-20 00:00:00,PR1,45
2022-08-20 00:00:00,PR2,320
2022-08-20 00:00:00,PR3,360
2022-08-20 00:00:00,T03,128
2022-08-20 00:00:00,T04,420
2022-08-20 00:00:00,T05,505
2022-08-20 00:00:00,T06,944
2022-08-20 00:00:00,T07,448
2022-08-20 00:00:00,T08,0
2022-08-21 00:00:00,PR,0
2022-08-21 00:00:00,PR1,53
2022-08-21 00:00:00,PR2,419
2022-08-21 00:00:00,PR3,348
2022-08-21 00:00:00,T03,192
2022-08-21 00:00:00,T04,410
2022-08-21 00:00:00,T05,489
2022-08-21 00:00:00,T06,955
2022-08-21 00:00:00,T07,422
2022-08-21 00:00:00,T08,0
2022-08-22 00:00:00,PR,0
2022-08-22 00:00:00,PR1,59
2022-08-22 00:00:00,PR2,265
2022-08-22 00:00:00,PR3,300
2022-08-22 00:00:00,T03,180
2022-08-22 00:00:00,T04,328
2022-08-22 00:00:00,T05,477
2022-08-22 00:00:00,T06,941
2022-08-22 00:00:00,T07,446
2022-08-22 00:00:00,T08,0
2022-08-23 00:00:00,PR,0
2022-08-23 00:00:00,PR1,41
2022-08-23 00:00:00,PR2,426
2022-08-23 00:00:00,PR3,412
2022-08-23 00:00:00,T03,132
2022-08-23 00:00:00,T04,319
2022-08-23 00:00:00,T05,539
2022-08-23 00:00:00,T06,1076
2022-08-23 00:00:00,T07,501
2022-08-23 00:00:00,T08,0
2022-08-24 00:00:00,PR,0
2022-08-24 00:00:00,PR1,47
2022-08-24 00:00:00,PR2,446
2022-08-24 00:00:00,PR3,399
2022-08-24 00:00:00,T03,130
2022-08-24 00:00:00,T04,347
2022-08-24 00:00:00,T05,502
2022-08-24 00:00:00,T06,919
2022-08-24 00:00:00,T07,470
2022-08-24 00:00:00,T08,0
2022-08-25 00:00:00,PR,0
2022-08-25 00:00:00,PR1,234
2022-08-25 00:00:00,PR2,554
2022-08-25 00:00:00,PR3,343
2022-08-25 00:00:00,T03,550
2022-08-25 00:00:00,T04,952
2022-08-25 00:00:00,T05,697
2022-08-25 00:00:00,T06,567
2022-08-25 00:00:00,T07,227
2022-08-25 00:00:00,T08,0
2022-08-26 00:00:00,PR,0
2022-08-26 00:00:00,PR1,44
2022-08-26 00:00:00,PR2,0
2022-08-26 00:00:00,PR3,327
2022-08-26 00:00:00,T03,193
2022-08-26 00:00:00,T04,484
2022-08-26 00:00:00,T05,611
2022-08-26 00:00:00,T06,1021
2022-08-26 00:00:00,T07,625
2022-08-26 00:00:00,T08,0
2022-08-27 00:00:00,PR,0
2022-08-27 00:00:00,PR1,48
2022-08-27 00:00:00,PR2,263
2022-08-27 00:00:00,PR3,301
2022-08-27 00:00:00,T03,122
2022-08-27 00:00:00,T04,314
2022-08-27 00:00:00,T05,551
2022-08-27 00:00:00,T06,1030
2022-08-27 00:00:00,T07,455
2022-08-27 00:00:00,T08,0
2022-08-28 00:00:00,PR,0
2022-08-28 00:00:00,PR1,40
2022-08-28 00:00:00,PR2,0
2022-08-28 00:00:00,PR3,437
2022-08-28 00:00:00,T03,120
2022-08-28 00:00:00,T04,325
2022-08-28 00:00:00,T05,659
2022-08-28 00:00:00,T06,971
2022-08-28 00:00:00,T07,492
2022-08-28 00:00:00,T08,0
2022-08-29 00:00:00,PR,0
2022-08-29 00:00:00,PR1,44
2022-08-29 00:00:00,PR2,312
2022-08-29 00:00:00,PR3,336
2022-08-29 00:00:00,T03,85
2022-08-29 00:00:00,T04,257
2022-08-29 00:00:00,T05,668
2022-08-29 00:00:00,T06,860
2022-08-29 00:00:00,T07,432
2022-08-29 00:00:00,T08,15
2022-08-30 00:00:00,PR,0
2022-08-30 00:00:00,PR1,28
2022-08-30 00:00:00,PR2,379
2022-08-30 00:00:00,PR3,275
2022-08-30 00:00:00,T03,127
2022-08-30 00:00:00,T04,361
2022-08-30 00:00:00,T05,440
2022-08-30 00:00:00,T06,685
2022-08-30 00:00:00,T07,337
2022-08-30 00:00:00,T08,0
2022-08-31 00:00:00,PR,0
2022-08-31 00:00:00,PR1,60
2022-08-31 00:00:00,PR2,237
2022-08-31 00:00:00,PR3,260
2022-08-31 00:00:00,T03,219
2022-08-31 00:00:00,T04,358
2022-08-31 00:00:00,T05,725
2022-08-31 00:00:00,T06,778
2022-08-31 00:00:00,T07,318
2022-08-31 00:00:00,T08,0
2022-09-01 00:00:00,PR,0
2022-09-01 00:00:00,PR1,55
2022-09-01 00:00:00,PR2,376
2022-09-01 00:00:00,PR3,277
2022-09-01 00:00:00,T03,144
2022-09-01 00:00:00,T04,390
2022-09-01 00:00:00,T05,519
2022-09-01 00:00:00,T06,665
2022-09-01 00:00:00,T07,219
2022-09-01 00:00:00,T08,0
2022-09-02 00:00:00,PR,0
2022-09-02 00:00:00,PR1,49
2022-09-02 00:00:00,PR2,326
2022-09-02 00:00:00,PR3,236
2022-09-02 00:00:00,T03,174
2022-09-02 00:00:00,T04,486
2022-09-02 00:00:00,T05,642
2022-09-02 00:00:00,T06,580
2022-09-02 00:00:00,T07,239
2022-09-02 00:00:00,T08,0
2022-09-03 00:00:00,PR,0
2022-09-03 00:00:00,PR1,62
2022-09-03 00:00:00,PR2,387
2022-09-03 00:00:00,PR3,256
2022-09-03 00:00:00,T03,178
2022-09-03 00:00:00,T04,508
2022-09-03 00:00:00,T05,653
2022-09-03 00:00:00,T06,594
2022-09-03 00:00:00,T07,204
2022-09-03 00:00:00,T08,0
2022-09-04 00:00:00,PR,0
2022-09-04 00:00:00,PR1,57
2022-09-04 00:00:00,PR2,286
2022-09-04 00:00:00,PR3,193
2022-09-04 00:00:00,T03,204
2022-09-04 00:00:00,T04,494
2022-09-04 00:00:00,T05,544
2022-09-04 00:00:00,T06,583
2022-09-04 00:00:00,T07,263
2022-09-04 00:00:00,T08,0
2022-09-05 00:00:00,PR,0
2022-09-05 00:00:00,PR1,104
2022-09-05 00:00:00,PR2,452
2022-09-05 00:00:00,PR3,220
2022-09-05 00:00:00,T03,144
2022-09-05 00:00:00,T04,322
2022-09-05 00:00:00,T05,345
2022-09-05 00:00:00,T06,467
2022-09-05 00:00:00,T07,160
2022-09-05 00:00:00,T08,0
2022-09-06 00:00:00,PR,0
2022-09-06 00:00:00,PR1,37
2022-09-06 00:00:00,PR2,295
2022-09-06 00:00:00,PR3,152
2022-09-06 00:00:00,T03,70
2022-09-06 00:00:00,T04,265
2022-09-06 00:00:00,T05,246
2022-09-06 00:00:00,T06,167
2022-09-06 00:00:00,T07,80
2022-09-06 00:00:00,T08,0
2022-09-07 00:00:00,PR,0
2022-09-07 00:00:00,PR1,45
2022-09-07 00:00:00,PR2,141
2022-09-07 00:00:00,PR3,172
2022-09-07 00:00:00,T03,70
2022-09-07 00:00:00,T04,228
2022-09-07 00:00:00,T05,226
2022-09-07 00:00:00,T06,284
2022-09-07 00:00:00,T07,205
2022-09-07 00:00:00,T08,0
2022-09-08 00:00:00,PR,0
2022-09-08 00:00:00,PR1,48
2022-09-08 00:00:00,PR2,242
2022-09-08 00:00:00,PR3,199
2022-09-08 00:00:00,T03,99
2022-09-08 00:00:00,T04,314
2022-09-08 00:00:00,T05,449
2022-09-08 00:00:00,T06,540
2022-09-08 00:00:00,T07,226
2022-09-08 00:00:00,T08,0
2022-09-09 00:00:00,PR,0
2022-09-09 00:00:00,PR1,29
2022-09-09 00:00:00,PR2,174
2022-09-09 00:00:00,PR3,154
2022-09-09 00:00:00,T03,102
2022-09-09 00:00:00,T04,307
2022-09-09 00:00:00,T05,341
2022-09-09 00:00:00,T06,387
2022-09-09 00:00:00,T07,159
2022-09-09 00:00:00,T08,0
2022-09-10 00:00:00,PR,0
2022-09-10 00:00:00,PR1,27
2022-09-10 00:00:00,PR2,216
2022-09-10 00:00:00,PR3,165
2022-09-10 00:00:00,T03,109
2022-09-10 00:00:00,T04,255
2022-09-10 00:00:00,T05,377
2022-09-10 00:00:00,T06,443
2022-09-10 00:00:00,T07,195
2022-09-10 00:00:00,T08,0
2022-09-11 00:00:00,PR,0
2022-09-11 00:00:00,PR1,14
2022-09-11 00:00:00,PR2,209
2022-09-11 00:00:00,PR3,207
2022-09-11 00:00:00,T03,60
2022-09-11 00:00:00,T04,233
2022-09-11 00:00:00,T05,369
2022-09-11 00:00:00,T06,532
2022-09-11 00:00:00,T07,258
2022-09-11 00:00:00,T08,0
2022-09-12 00:00:00,PR,0
2022-09-12 00:00:00,PR1,14
2022-09-12 00:00:00,PR2,179
2022-09-12 00:00:00,PR3,193
2022-09-12 00:00:00,T03,44
2022-09-12 00:00:00,T04,128
2022-09-12 00:00:00,T05,268
2022-09-12 00:00:00,T06,363
2022-09-12 00:00:00,T07,100
2022-09-12 00:00:00,T08,0
2022-09-13 00:00:00,PR,0
2022-09-13 00:00:00,PR1,17
2022-09-13 00:00:00,PR2,126
2022-09-13 00:00:00,PR3,95
2022-09-13 00:00:00,T03,56
2022-09-13 00:00:00,T04,127
2022-09-13 00:00:00,T05,204
2022-09-13 00:00:00,T06,277
2022-09-13 00:00:00,T07,130
2022-09-13 00:00:00,T08,0
2022-09-14 00:00:00,PR,0
2022-09-14 00:00:00,PR1,20
2022-09-14 00:00:00,PR2,110
2022-09-14 00:00:00,PR3,90
2022-09-14 00:00:00,T03,58
2022-09-14 00:00:00,T04,142
2022-09-14 00:00:00,T05,208
2022-09-14 00:00:00,T06,247
2022-09-14 00:00:00,T07,120
2022-09-14 00:00:00,T08,0
2022-09-15 00:00:00,PR,0
2022-09-15 00:00:00,PR1,27
2022-09-15 00:00:00,PR2,164
2022-09-15 00:00:00,PR3,173
2022-09-15 00:00:00,T03,68
2022-09-15 00:00:00,T04,206
2022-09-15 00:00:00,T05,408
2022-09-15 00:00:00,T06,585
2022-09-15 00:00:00,T07,211
2022-09-15 00:00:00,T08,0
2022-09-16 00:00:00,PR,0
2022-09-16 00:00:00,PR1,7
2022-09-16 00:00:00,PR2,106
2022-09-16 00:00:00,PR3,135
2022-09-16 00:00:00,T03,88
2022-09-16 00:00:00,T04,331
2022-09-16 00:00:00,T05,449
2022-09-16 00:00:00,T06,472
2022-09-16 00:00:00,T07,186
2022-09-16 00:00:00,T08,0
2022-09-17 00:00:00,PR,0
2022-09-17 00:00:00,PR1,45
2022-09-17 00:00:00,PR2,165
2022-09-17 00:00:00,PR3,113
2022-09-17 00:00:00,T03,55
2022-09-17 00:00:00,T04,188
2022-09-17 00:00:00,T05,333
2022-09-17 00:00:00,T06,369
2022-09-17 00:00:00,T07,105
2022-09-17 00:00:00,T08,0
2022-09-18 00:00:00,PR,0
2022-09-18 00:00:00,PR1,56
2022-09-18 00:00:00,PR2,209
2022-09-18 00:00:00,PR3,107
2022-09-18 00:00:00,T03,94
2022-09-18 00:00:00,T04,243
2022-09-18 00:00:00,T05,317
2022-09-18 00:00:00,T06,391
2022-09-18 00:00:00,T07,133
2022-09-18 00:00:00,T08,0
